Name,Platform,MSRP,Sale Price,Buy Digital,Buy Physical,Demo Available,DLC,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Education,First-Person,Fitness,Music,Party,Puzzle,Racing,Role-Playing,Simulation,Sports,Strategy,M,u,l,t,i,p,l,a,y,e,r,Store Link,Official Site,Time Data Retrieved (UTC)
Pokémon Shield,Nintendo Switch,,,,True,,,Nintendo,GAME FREAK Inc.,Rating Pending,TBD,To be determined,,,,,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pokemon-shield-switch,http://Pokemon.com/SwordShield,2019-05-15 01:28:50
Pokémon Sword,Nintendo Switch,,,,True,,,Nintendo,GAME FREAK Inc.,Rating Pending,TBD,To be determined,,,,,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pokemon-sword-switch,http://Pokemon.com/SwordShield,2019-05-15 01:28:51
The Legend of Zelda: Link's Awakening,Nintendo Switch,,,,,,,Nintendo,,Rating Pending,2019,To be determined,,,,,True,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/the-legend-of-zelda-links-awakening-switch,,2019-05-15 01:28:52
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,Nintendo Switch,,,,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Rating Pending,Fall 2019,1 player,,,,,,,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch,,2019-05-15 01:28:52
ASTRAL CHAIN,Nintendo Switch,,,True,,,,Nintendo,PlatinumGames Inc,Rating Pending,"Aug 30, 2019",up to 2 players,,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/astral-chain-switch,,2019-05-15 01:28:53
DAEMON X MACHINA,Nintendo Switch,,,,True,,,Nintendo,Marvelous Entertainment,Rating Pending,Summer 2019,1 player,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/daemon-x-machina-switch,,2019-05-15 01:28:53
Fire Emblem: Three Houses - Seasons of Warfare Edition,Nintendo Switch,,,,True,,,Nintendo,,Rating Pending,"Jul 26, 2019",To be determined,,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fire-emblem-three-houses-seasons-of-warfare-edition-switch,,2019-05-15 01:28:54
Fire Emblem: Three Houses,Nintendo Switch,,,,True,,,Nintendo,,Rating Pending,"Jul 26, 2019",To be determined,,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fire-emblem-three-houses-switch,,2019-05-15 01:28:54
MARVEL ULTIMATE ALLIANCE 3: The Black Order,Nintendo Switch,$59.99,,True,True,,,Nintendo,"KOEI TECMO GAMES CO., LTD., 
                    
                        Team NINJA",Teen,"Jul 19, 2019",up to 4 players,,,,,True,,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/marvel-ultimate-alliance-3-the-black-order-switch,https://marvelultimatealliance3.nintendo.com/,2019-05-15 01:28:55
DRAGON QUEST BUILDERS 2,Nintendo Switch,,,,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Everyone 10+,"Jul 12, 2019",up to 4 players,,,,,True,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragon-quest-builders-2-switch,,2019-05-15 01:28:55
