Nintendo Switch,Nintendo 3DS,Wii U,iOS,Android
https://www.nintendo.com/games/detail/pokemon-shield-switch,https://www.nintendo.com/games/detail/kirbys-extra-epic-yarn-3ds,https://www.nintendo.com/games/detail/the-legend-of-zelda-breath-of-the-wild-wii-u,https://www.nintendo.com/games/detail/dragalia-lost-ios,https://www.nintendo.com/games/detail/dragalia-lost-android
https://www.nintendo.com/games/detail/pokemon-sword-switch,https://www.nintendo.com/games/detail/yo-kai-watch-3-3ds,https://www.nintendo.com/games/detail/shovel-knight-king-of-cards-wii-u,https://www.nintendo.com/games/detail/animal-crossing-pocket-camp-ios,https://www.nintendo.com/games/detail/animal-crossing-pocket-camp-android
https://www.nintendo.com/games/detail/the-legend-of-zelda-links-awakening-switch,https://www.nintendo.com/games/detail/mario-and-luigi-bowsers-inside-story-3ds,https://www.nintendo.com/games/detail/el-silla-arcade-edition-wii-u,https://www.nintendo.com/games/detail/super-mario-run-ios,https://www.nintendo.com/games/detail/super-mario-run-android
https://www.nintendo.com/games/detail/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch,https://www.nintendo.com/games/detail/luigis-mansion-3ds,https://www.nintendo.com/games/detail/pixelmaker-studio-wii-u,https://www.nintendo.com/games/detail/nintendo-switch-online-ios,https://www.nintendo.com/games/detail/nintendo-switch-online-android
https://www.nintendo.com/games/detail/astral-chain-switch,https://www.nintendo.com/games/detail/metroid-samus-returns-3ds,https://www.nintendo.com/games/detail/sinister-assistant-wii-u,https://www.nintendo.com/games/detail/nintendo-switch-parental-controls-ios,https://www.nintendo.com/games/detail/nintendo-switch-parental-controls-android
https://www.nintendo.com/games/detail/daemon-x-machina-switch,https://www.nintendo.com/games/detail/shovel-knight-king-of-cards-3ds,https://www.nintendo.com/games/detail/azure-snake-wii-u,https://www.nintendo.com/games/detail/fire-emblem-heroes-ios,https://www.nintendo.com/games/detail/fire-emblem-heroes-android
https://www.nintendo.com/games/detail/fire-emblem-three-houses-seasons-of-warfare-edition-switch,https://www.nintendo.com/games/detail/persona-q2-new-cinema-labyrinth-3ds,https://www.nintendo.com/games/detail/call-of-nightmare-wii-u,https://www.nintendo.com/games/detail/miitomo-ios,https://www.nintendo.com/games/detail/miitomo-android
https://www.nintendo.com/games/detail/fire-emblem-three-houses-switch,https://www.nintendo.com/games/detail/horror-stories-3ds,https://www.nintendo.com/games/detail/just-dance-2019-wii-u,,
https://www.nintendo.com/games/detail/marvel-ultimate-alliance-3-the-black-order-switch,https://www.nintendo.com/games/detail/pinball-breaker-3ds,https://www.nintendo.com/games/detail/masked-forces-wii-u,,
https://www.nintendo.com/games/detail/dragon-quest-builders-2-switch,https://www.nintendo.com/games/detail/love-hero-3ds,https://www.nintendo.com/games/detail/rainbow-snake-wii-u,,
https://www.nintendo.com/games/detail/super-mario-maker-2-switch,https://www.nintendo.com/games/detail/vera-swings-3ds,https://www.nintendo.com/games/detail/aqua-moto-racing-utopia-wii-u,,
https://www.nintendo.com/games/detail/boxboy-and-boxgirl-switch,https://www.nintendo.com/games/detail/etrian-odyssey-nexus-3ds,https://www.nintendo.com/games/detail/shadow-archery-wii-u,,
https://www.nintendo.com/games/detail/yoshis-crafted-world-switch,https://www.nintendo.com/games/detail/azure-snake-3ds,https://www.nintendo.com/games/detail/spellcasters-assistant-wii-u,,
https://www.nintendo.com/games/detail/tetris-99-switch,https://www.nintendo.com/games/detail/phasmophobia-hall-of-specters-3d-3ds,https://www.nintendo.com/games/detail/rto-2-wii-u,,
https://www.nintendo.com/games/detail/new-super-mario-bros-u-deluxe-switch,https://www.nintendo.com/games/detail/dragons-wrath-3ds,https://www.nintendo.com/games/detail/fat-dragons-wii-u,,
https://www.nintendo.com/games/detail/fitness-boxing-switch,https://www.nintendo.com/games/detail/operation-cobra-3ds,https://www.nintendo.com/games/detail/aperion-cyberstorm-wii-u,,
https://www.nintendo.com/games/detail/super-smash-bros-switch,https://www.nintendo.com/games/detail/rto-3-3ds,https://www.nintendo.com/games/detail/imagefight-2-wii-u,,
https://www.nintendo.com/games/detail/super-smash-bros-ultimate-special-edition-switch,https://www.nintendo.com/games/detail/pixelmaker-studio-3ds,https://www.nintendo.com/games/detail/imagefight-wii-u,,
https://www.nintendo.com/games/detail/pokemon-lets-go-pikachu-switch,https://www.nintendo.com/games/detail/rto-2-3ds,https://www.nintendo.com/games/detail/battle-chopper-wii-u,,
https://www.nintendo.com/games/detail/pokemon-lets-go-eevee-switch,https://www.nintendo.com/games/detail/japanese-rail-sim-3d-5-types-of-trains-3ds,https://www.nintendo.com/games/detail/toon-war-wii-u,,
https://www.nintendo.com/games/detail/super-mario-party-bundle-switch,https://www.nintendo.com/games/detail/pinball-breakout-2-3ds,https://www.nintendo.com/games/detail/necromancer-wii-u,,
https://www.nintendo.com/games/detail/dark-souls-remastered-switch,https://www.nintendo.com/games/detail/cube-creator-dx-3ds,https://www.nintendo.com/games/detail/jolt-family-robot-racer-wii-u,,
https://www.nintendo.com/games/detail/the-world-ends-with-you-final-remix-switch,https://www.nintendo.com/games/detail/insect-planet-td-3ds,https://www.nintendo.com/games/detail/rto-wii-u,,
https://www.nintendo.com/games/detail/super-mario-party-switch,https://www.nintendo.com/games/detail/petite-zombies-3ds,https://www.nintendo.com/games/detail/bomberman-93-wii-u,,
https://www.nintendo.com/games/detail/splatoon-2-starter-pack-switch,https://www.nintendo.com/games/detail/triple-breakout-3ds,https://www.nintendo.com/games/detail/battle-lode-runner-wii-u,,
https://www.nintendo.com/games/detail/super-mario-odyssey-starter-pack-switch,https://www.nintendo.com/games/detail/pinball-breakout-3ds,https://www.nintendo.com/games/detail/draw-a-stickman-epic-2-wii-u,,
https://www.nintendo.com/games/detail/the-legend-of-zelda-breath-of-the-wild-starter-pack-switch,https://www.nintendo.com/games/detail/jake-hunter-detective-story-ghost-of-the-dusk-3ds,https://www.nintendo.com/games/detail/bomberman-panic-bomber-wii-u,,
https://www.nintendo.com/games/detail/xenoblade-chronicles-2-torna-the-golden-country-switch,https://www.nintendo.com/games/detail/yo-kai-watch-blasters-red-cat-corps-3ds,https://www.nintendo.com/games/detail/breakout-defense-2-wii-u,,
https://www.nintendo.com/games/detail/overcooked-2-switch,https://www.nintendo.com/games/detail/yo-kai-watch-blasters-white-dog-squad-3ds,https://www.nintendo.com/games/detail/salamander-wii-u,,
https://www.nintendo.com/games/detail/captain-toad-treasure-tracker-switch,https://www.nintendo.com/games/detail/breakout-defense-3ds,https://www.nintendo.com/games/detail/break-in-wii-u,,
https://www.nintendo.com/games/detail/wolfenstein-ii-the-new-colossus-switch,https://www.nintendo.com/games/detail/double-breakout-3ds,https://www.nintendo.com/games/detail/lords-of-thunder-wii-u,,
