Name,Platform,MSRP,Buy Digital,Buy Physical,Demo Available,DLC Available,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Arcade,Board Game,Camera,Casual,Communication,Creature Creator,Dance,Education,Edutainment,Fighting,First-Person,Fishing Game,Fitness,Gambling,Hidden Object,Interactive Theme Park,Lifestyle,Mental Training,Multiplayer,Music,Other,Party,Platformer,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Trivia,Undefined,Store Link,Official Site,Time Data Retrieved (UTC)
Pokémon Shield,Nintendo Switch,,,True,,,Nintendo,GAME FREAK Inc.,Rating Pending,TBD,To be determined,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/pokemon-shield-switch,http://Pokemon.com/SwordShield,2019-05-15 08:03:55
Pokémon Sword,Nintendo Switch,,,True,,,Nintendo,GAME FREAK Inc.,Rating Pending,TBD,To be determined,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/pokemon-sword-switch,http://Pokemon.com/SwordShield,2019-05-15 08:03:55
The Legend of Zelda: Link's Awakening,Nintendo Switch,,,,,,Nintendo,,Rating Pending,2019,To be determined,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/the-legend-of-zelda-links-awakening-switch,,2019-05-15 08:03:55
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,Nintendo Switch,,,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Rating Pending,Fall 2019,1 player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch,,2019-05-15 08:03:56
ASTRAL CHAIN,Nintendo Switch,,True,,,,Nintendo,PlatinumGames Inc,Rating Pending,"Aug 30, 2019",up to 2 players,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/astral-chain-switch,,2019-05-15 08:03:56
DAEMON X MACHINA,Nintendo Switch,,,True,,,Nintendo,Marvelous Entertainment,Rating Pending,Summer 2019,1 player,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/daemon-x-machina-switch,,2019-05-15 08:03:56
Fire Emblem: Three Houses - Seasons of Warfare Edition,Nintendo Switch,,,True,,,Nintendo,,Rating Pending,"Jul 26, 2019",To be determined,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/fire-emblem-three-houses-seasons-of-warfare-edition-switch,,2019-05-15 08:03:57
Fire Emblem: Three Houses,Nintendo Switch,,,True,,,Nintendo,,Rating Pending,"Jul 26, 2019",To be determined,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/fire-emblem-three-houses-switch,,2019-05-15 08:03:57
MARVEL ULTIMATE ALLIANCE 3: The Black Order,Nintendo Switch,$59.99,True,True,,,Nintendo,"KOEI TECMO GAMES CO., LTD., 
                    
                        Team NINJA",Teen,"Jul 19, 2019",up to 4 players,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/marvel-ultimate-alliance-3-the-black-order-switch,https://marvelultimatealliance3.nintendo.com/,2019-05-15 08:03:57
DRAGON QUEST BUILDERS 2,Nintendo Switch,,,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Everyone 10+,"Jul 12, 2019",up to 4 players,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/dragon-quest-builders-2-switch,,2019-05-15 08:03:58
Super Mario Maker 2,Nintendo Switch,,True,True,,,Nintendo,Nintendo,Everyone,"Jun 28, 2019",To be determined,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-mario-maker-2-switch,https://supermariomaker.nintendo.com,2019-05-15 08:03:58
BOXBOY! + BOXGIRL!,Nintendo Switch,$9.99,True,,True,,Nintendo,"HAL Laboratory, Inc.",Everyone,"Apr 26, 2019",up to 2 players,543 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/boxboy-and-boxgirl-switch,https://boxboy.nintendo.com/,2019-05-15 08:03:58
